Framework,CVE ID,Reference URLs
,CVE-1999-0116,"['ftp://patches.sgi.com/support/free/security/advisories/19961202-01-PX', 'http://sunsolve.sun.com/pub-cgi/retrieve.pl?doctype=coll&doc=secbull/136']"
,CVE-1999-0961,['http://marc.info/?l=bugtraq&m=87602167419906&w=2']
,CVE-1999-0206,['https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0206']
,CVE-1999-0246,['https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0246']
,CVE-1999-0308,['http://www1.itrc.hp.com/service/cki/docDisplay.do?docId=HPSBUX9410-018']
,CVE-1999-0319,['https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0319']
,CVE-1999-0234,['https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0234']
,CVE-1999-0075,['http://www.osvdb.org/5742']
,CVE-1999-0032,"['ftp://patches.sgi.com/support/free/security/advisories/19980402-01-PX', 'http://www.ciac.org/ciac/bulletins/i-042.shtml', 'http://www.securityfocus.com/bid/707']"
,CVE-1999-0277,['https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0277']
,CVE-1999-1384,"['ftp://ftp.auscert.org.au/pub/auscert/advisory/AA-96.08.SGI.systour.vul', 'ftp://patches.sgi.com/support/free/security/advisories/19961101-01-I', 'http://marc.info/?l=bugtraq&m=87602167420095&w=2', 'http://www.iss.net/security_center/static/7456.php', 'http://www.securityfocus.com/bid/470']"
,CVE-1999-0311,['http://www1.itrc.hp.com/service/cki/docDisplay.do?docId=HPSBUX9612-042']
,CVE-1999-0336,['https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0336']
,CVE-1999-1161,"['http://ciac.llnl.gov/ciac/bulletins/h-32.shtml', 'http://marc.info/?l=bugtraq&m=87602167420102&w=2', 'http://marc.info/?l=bugtraq&m=87602167420103&w=2', 'http://www.codetalker.com/advisories/vendor/hp/hpsbux9704-057.html', 'http://www.iss.net/security_center/static/7438.php']"
,CVE-1999-0130,['http://www.securityfocus.com/bid/716']
,CVE-1999-1221,"['http://marc.info/?l=bugtraq&m=87602167420141&w=2', 'https://exchange.xforce.ibmcloud.com/vulnerabilities/399']"
,CVE-1999-1099,"['http://marc.info/?l=bugtraq&m=87602167420184&w=2', 'https://exchange.xforce.ibmcloud.com/vulnerabilities/65']"
,CVE-1999-1240,"['http://www.securityfocus.com/archive/1/5784', 'https://exchange.xforce.ibmcloud.com/vulnerabilities/2203']"
,CVE-1999-0050,['https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0050']
,CVE-1999-0044,['ftp://patches.sgi.com/support/free/security/advisories/19970301-01-P']
,CVE-1999-0129,['http://www.cert.org/advisories/CA-1996-25.html']
,CVE-1999-0043,['https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0043']
,CVE-1999-1401,"['ftp://patches.sgi.com/support/free/security/advisories/19961201-01-PX', 'http://www.iss.net/security_center/static/7575.php', 'http://www.osvdb.org/8563', 'http://www.securityfocus.com/bid/463']"
,CVE-1999-0045,['https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0045']
,CVE-1999-0096,['http://sunsolve.sun.com/pub-cgi/retrieve.pl?doctype=coll&doc=secbull/122&type=0&nav=sec.sba']
,CVE-1999-0101,['http://ciac.llnl.gov/ciac/bulletins/h-13.shtml']
,CVE-1999-0297,['https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0297']
,CVE-1999-1089,"['http://ciac.llnl.gov/ciac/bulletins/h-16.shtml', 'http://ciac.llnl.gov/ciac/bulletins/h-21.shtml', 'http://marc.info/?l=bugtraq&m=87602167420285&w=2', 'https://exchange.xforce.ibmcloud.com/vulnerabilities/2008']"
,CVE-1999-0128,['https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0128']
,CVE-1999-0127,['https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0127']
,CVE-1999-1385,"['ftp://ftp.FreeBSD.org/pub/FreeBSD/CERT/advisories/old/FreeBSD-SA-96:20.stack-overflow.asc', 'http://marc.info/?l=bugtraq&m=87602167420332&w=2', 'http://www.iss.net/security_center/static/7465.php', 'http://www.osvdb.org/6085']"
,CVE-1999-1026,"['http://marc.info/?l=bugtraq&m=87602167420343&w=2', 'http://www.securityfocus.com/bid/292']"
,CVE-1999-0260,['https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0260']
,CVE-1999-1251,"['http://packetstormsecurity.org/advisories/hpalert/043', 'https://exchange.xforce.ibmcloud.com/vulnerabilities/2010']"
,CVE-1999-0100,['https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0100']
,CVE-1999-0163,['https://www.cve.org/CVERecord?id=CVE-1999-0163']
